Rank,Lemma,POS,Definition,
2741,experimental,adjective,"relating to tests, especially scientific ones",実験の
2742,institutional,adjective,"relating to a large and important organization, such as a government, university or bank",機関の
2743,slice,noun,a flat piece of something that has been cut from a larger piece,一切れ
2744,wander,verb,to move around or go to different places usually without having a particular purpose or direction,さまよう
2745,empire,noun, a group of countries or regions that are controlled by one ruler or one government ,帝国
2746,subsequently,adverb,happening after something else,その後に
2747,gentle,adjective,having or showing a kind and quiet nature : not harsh or violent ,優しい、穏やかな
2748,attendance,noun,"the number of people who go to an event, meeting, etc.",出席者数
2749,ownership,noun, the state or fact of owning something,所有権
2750,qualification,noun, a special skill or type of experience or knowledge that makes someone suitable to do a particular job or activity ,資格
2751,suspend,verb,to stop something for a usually short period of time,一時停止する
2752,functional,adjective,designed to be practical or useful and not only attractive; operating correctly,機能的な
2753,voluntary,adjective,done or given by their own will and not forced to do,自由意志による
2754,pale,adjective,light in color,淡い
2755,stain,verb,to leave a mark on something,汚す
2756,athlete,noun,someone who is very good at a sport and who competes with others in organized events,アスリート
2757,organic,adjective,not using artificial chemicals when keeping animals or growing plants for food,有機栽培の
2758,tongue,noun,"the soft, movable part in the mouth that is used for tasting and eating food and in human beings for speaking",舌
2759,server,noun,a computer that is used only for storing and managing programs and information used by other computers,サーバー
2760,structural,adjective,relating to the structure of something,構造的な
2761,fool,noun, a person who lacks good sense or judgment : a stupid or silly person ,馬鹿者
2762,alongside,preposition,next to someone or something,並んで
2763,unite,verb,"to join together, to come together for the same goal",団結する
2764,gently,adverb,in a kind and careful way as not to hurt or upset anyone or anything,優しく
2765,compute,verb,to find out by calculating or estimating,計算する
2766,wipe,verb," to clean or dry (something) by using a towel, your hand, etc.",拭く
2767,weird,adjective,very strange,変わった
2768,gaze,verb,to look for a long time at someone or something or in a particular direction,じっと見る
2769,fade,verb, to lose strength or freshness ,弱まる
2770,cough,verb,"to force air through your throat with a short, loud noise often because you are sick",咳をする
2771,hypothesis,noun,an idea that leads to further study or discussion,仮説
2772,royal,adjective,of or relating to a king or queen ,王族の
2773,theoretical,adjective,related to an explanation that has not been proved,理論的な
2774,curtain,noun, a piece of cloth that hangs down from above a window and can be used to cover the window ,カーテン
2775,mayor,noun,the person who is elected to be the leader of the group that governs a town or city,市長
2776,darkness,noun,when there is little or no light,暗闇
2777,aunt,noun, the sister of your father or mother or the wife of your uncle ,叔母
2778,tournament,noun,"a competition with a series of games between many teams or players, with one winner at the end",大会
2779,registration,noun,when a name or information is recorded on an official list,登録
2780,fragment,noun,a small piece of something,断片
2781,listener,noun,someone who listens,傍聴者
2782,tender,adjective,very loving and gentle : showing affection and love for someone or something ,思いやりのある
2783,density,noun,the number of people or things in a place when compared with the size of the place;  the relationship between the weight of a substance and its size,密度
2784,ugly,adjective,unpleasant to look at : not pretty or attractive ,醜い
2785,module,noun,"a part of an object that can operate alone, especially a part of a spacecraft; part of a course or a textbook",モジュール
2786,faithfully,adverb,in a loyal way or a way that can be trusted,忠実に
2787,autumn,noun,the season between summer and winter ,秋
2788,cheek,noun,the soft part of your face below your eye,ほお
2789,attachment,noun,a feeling strong connection to someone or something; a computer file which is sent together with an email message,愛着、添付ファイル
2790,holder,noun,someone who officially owns something,所有者
2791,grin,noun,to smile a big smile,にっこり笑う
2792,noun,noun," a word that is the name of something (such as a person, animal, place, thing, quality, idea, or action) and is typically used in a sentence as subject or object of a verb or as object of a preposition ",名詞
